name,kBenderDco,kBenderVcf,kArpRate,kLfoRate,kLfoDelay,kDcoLfo,kDcoPwm,kDcoSub,kDcoNoise,kHpfFreq,kVcfFreq,kVcfRes,kVcfEnv,kVcfLfo,kVcfKbd,kVcaLevel,kEnvA,kEnvD,kEnvS,kEnvR,kTranspose,kHold,kArpeggio,kDcoPulse,kDcoSaw,kDcoSubSw,kChorusOff,kChorusI,kChorusII,kOctTranspose,kArpMode,kArpRange,kLfoMode,kPwmMode,kVcfEnvInv,kVcaMode,kBender,kTuning,kPower,kPortaMode,kPortaRate,kTransposeOffset,kBenderLfo,kAdsrMode
"B38 Bass Pluck",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.571429,0.000000,0.000000,[0],0.291339,0.228346,0.220472,0.000000,0.338583,0.724409,0.000000,0.330709,0.275591,0.000000,0.000000,[0],[0],[1],[1],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B41 Resonant Rise",0.000000,0.000000,0.944882,0.409449,0.000000,0.118110,0.000000,0.000000,0.000000,[0],0.519685,0.842520,0.244094,0.000000,0.574803,0.488189,0.000000,0.409449,0.307087,0.000000,0.000000,[0],[0],[0],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[1],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B42 Harpsichord 2",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,1.000000,0.275591,0.000000,[1],1.000000,0.748031,0.000000,0.000000,1.000000,0.842520,0.000000,0.354331,0.000000,0.000000,0.000000,[0],[0],[1],[1],[1],[1],[0],[0],[2],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B43 Dark Ensemble",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.542857,0.590551,0.000000,[0],0.433071,0.000000,0.000000,0.000000,0.842520,0.527559,0.165354,0.000000,1.000000,0.275591,0.000000,[0],[0],[1],[1],[1],[0],[1],[0],[1],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B44 Contact Wah",0.000000,0.000000,0.944882,0.614173,0.000000,0.000000,0.771429,0.000000,0.000000,[1],0.480315,0.795276,0.362205,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[1],[1],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B45 Noise Sweep 2",0.000000,0.000000,0.944882,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,[0],1.000000,0.000000,0.653543,0.000000,0.818898,0.913386,1.000000,0.622047,0.204724,0.653543,0.000000,[0],[0],[0],[0],[0],[0],[1],[0],[2],[0],[0],[0],[0],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B46 Glassy Wah",0.000000,0.000000,0.944882,0.000000,0.740157,0.000000,0.266667,0.000000,0.000000,[0],0.188976,0.267717,0.480315,0.000000,0.511811,0.881890,0.047244,0.141732,0.393701,0.299213,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B47 Phase Ensemble",0.000000,0.000000,0.944882,0.086614,0.354331,0.039370,1.000000,0.000000,0.000000,[0],0.622047,0.000000,0.000000,0.000000,1.000000,0.779528,0.661417,0.354331,0.448819,0.385827,0.000000,[0],[0],[1],[0],[0],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B48 Chorused Bell",0.000000,0.000000,0.944882,0.000000,0.086614,0.000000,1.000000,0.795276,0.000000,[0],0.464567,1.000000,0.000000,0.000000,1.000000,0.488189,0.000000,0.488189,0.000000,0.448819,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B51 Clav",0.000000,0.000000,0.944882,0.393701,0.086614,0.000000,0.866667,0.055118,0.000000,[2],0.251969,0.000000,0.496063,0.000000,0.000000,0.850394,0.000000,0.338583,0.433071,0.000000,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B52 Organ 2",0.000000,0.000000,0.944882,0.637795,0.000000,0.000000,0.990476,0.000000,0.000000,[0],0.425197,0.834646,0.055118,0.000000,1.000000,0.622047,0.000000,0.000000,0.000000,0.000000,0.000000,[0],[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B53 Bassoon",0.000000,0.000000,0.944882,0.661417,0.299213,0.070866,0.857143,0.000000,0.000000,[3],0.275591,0.000000,0.338583,0.070866,0.771654,1.000000,0.039370,1.000000,0.834646,0.015748,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B54 Auto Noise Sweep",0.000000,0.000000,0.944882,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,[0],1.000000,0.000000,1.000000,0.000000,0.818898,0.842520,0.000000,0.622047,0.448819,0.653543,0.000000,[0],[0],[0],[0],[0],[0],[1],[0],[2],[0],[0],[0],[0],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B55 Brass Ensemble",0.000000,0.000000,0.944882,0.196850,0.740157,0.000000,0.695238,0.000000,0.000000,[0],0.370079,0.267717,0.275591,0.000000,0.511811,0.307087,0.047244,0.535433,0.527559,0.299213,0.000000,[0],[0],[1],[1],[0],[0],[1],[0],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B56 Ethereal",0.000000,0.000000,0.944882,0.543307,0.000000,0.000000,1.000000,0.464567,0.000000,[0],0.370079,0.944882,0.000000,0.000000,1.000000,0.472441,0.724409,0.393701,1.000000,0.433071,0.000000,[0],[0],[1],[1],[1],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B57 Chorus Bell 2",0.000000,0.000000,0.944882,0.566929,0.354331,0.000000,0.276190,0.000000,0.000000,[0],0.000000,0.803150,0.488189,0.000000,0.708661,0.236220,0.000000,0.921260,0.000000,0.944882,0.000000,[0],[0],[1],[1],[0],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B58 Blizzard",0.000000,0.000000,0.944882,0.007874,0.000000,0.000000,1.000000,0.000000,1.000000,[3],0.440945,0.700787,0.055118,0.299213,0.952756,1.000000,0.614173,0.771654,0.685039,0.614173,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B61 E Piano Trem",0.000000,0.000000,0.944882,0.346457,0.000000,0.000000,0.200000,1.000000,0.000000,[1],0.173228,0.000000,0.275591,0.055118,0.842520,0.811024,0.000000,0.511811,0.472441,0.771654,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
