name,kBenderDco,kBenderVcf,kArpRate,kLfoRate,kLfoDelay,kDcoLfo,kDcoPwm,kDcoSub,kDcoNoise,kHpfFreq,kVcfFreq,kVcfRes,kVcfEnv,kVcfLfo,kVcfKbd,kVcaLevel,kEnvA,kEnvD,kEnvS,kEnvR,kTranspose,kHold,kArpeggio,kDcoPulse,kDcoSaw,kDcoSubSw,kChorusOff,kChorusI,kChorusII,kOctTranspose,kArpMode,kArpRange,kLfoMode,kPwmMode,kVcfEnvInv,kVcaMode,kBender,kTuning,kPower,kPortaMode,kPortaRate,kTransposeOffset,kBenderLfo,kAdsrMode
"A11 Brass",0.000000,0.000000,0.944882,0.157480,0.385827,0.000000,0.971429,0.000000,0.000000,[1],0.275591,0.102362,0.456693,0.000000,0.677165,0.850394,0.023622,0.385827,0.354331,0.251969,0.000000,[0],[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A12 Brass Swell",0.000000,0.000000,0.944882,0.047244,0.377953,0.000000,0.533333,0.551181,0.000000,[0],0.338583,0.133858,0.204724,0.000000,0.661417,0.590551,0.503937,0.929134,0.299213,0.291339,0.000000,[0],[0],[0],[1],[1],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A13 Trumpet",0.000000,0.000000,0.944882,0.409449,0.354331,0.062992,0.971429,0.000000,0.000000,[2],0.433071,0.267717,0.188976,0.007874,0.464567,1.000000,0.039370,0.519685,0.377953,0.125984,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A14 Flutes",0.000000,0.000000,0.944882,0.472441,0.338583,0.007874,0.000000,0.000000,0.000000,[3],0.433071,0.251969,0.078740,0.086614,0.322835,1.000000,0.181102,0.637795,0.000000,0.141732,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A15 Moving Strings",0.000000,0.000000,0.944882,0.496063,0.000000,0.000000,0.371429,0.110236,0.000000,[1],0.606299,0.157480,0.031496,0.000000,0.874016,0.267717,0.102362,0.685039,0.692913,0.275591,0.000000,[0],[0],[1],[1],[1],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A16 Brass & Strings",0.000000,0.000000,0.944882,0.275591,0.000000,0.000000,0.533333,0.181102,0.000000,[0],0.598425,0.133858,0.031496,0.000000,0.322835,0.614173,0.346457,0.519685,0.417323,0.346457,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A17 Choir",0.000000,0.000000,0.944882,0.464567,0.110236,0.102362,0.238095,0.000000,0.000000,[2],0.464567,0.740157,0.015748,0.000000,0.488189,1.000000,0.535433,0.086614,1.000000,0.377953,0.000000,[0],[0],[1],[0],[0],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A18 Piano I",0.000000,0.000000,0.944882,0.157480,0.385827,0.000000,0.761905,0.677165,0.000000,[1],0.511811,0.094488,0.078740,0.000000,0.212598,0.811024,0.000000,0.519685,0.000000,0.236220,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A21 Organ I",0.000000,0.000000,0.944882,0.425197,0.118110,0.000000,0.504762,0.181102,0.000000,[0],0.338583,0.598425,0.110236,0.007874,1.000000,0.787402,0.000000,0.078740,0.645669,0.000000,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[0],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A22 Organ II",0.000000,0.000000,0.944882,0.346457,0.118110,0.000000,0.504762,0.456693,0.000000,[0],0.417323,0.598425,0.110236,0.007874,0.669291,0.582677,0.000000,0.078740,0.645669,0.000000,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A23 Combo Organ",0.000000,0.000000,0.944882,0.590551,0.165354,0.070866,0.542857,0.480315,0.000000,[2],0.496063,0.551181,0.031496,0.000000,0.858268,0.755906,0.000000,0.377953,0.338583,0.362205,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A24 Calliope",0.000000,0.000000,0.944882,0.645669,0.314961,0.086614,0.000000,0.377953,0.000000,[2],0.685039,0.212598,0.133858,0.000000,0.440945,0.700787,0.055118,1.000000,1.000000,0.047244,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A25 Donald Pluck",0.000000,0.000000,0.944882,0.598425,0.165354,0.070866,0.542857,1.000000,0.000000,[3],0.574803,0.826772,0.118110,0.000000,0.614173,0.645669,0.015748,0.039370,0.338583,0.078740,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[1],[1],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A26 Celeste",0.000000,0.000000,0.944882,0.220472,0.000000,0.000000,0.000000,0.118110,0.000000,[0],0.259843,0.188976,0.425197,0.000000,0.299213,0.755906,0.000000,0.346457,0.000000,0.637795,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A27 E Piano I",0.000000,0.000000,0.944882,0.464567,0.000000,0.000000,0.000000,0.000000,0.000000,[3],0.125984,0.244094,0.480315,0.047244,0.275591,1.000000,0.007874,0.669291,0.338583,0.314961,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A28 E Piano II",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.676190,0.000000,0.000000,[1],0.393701,0.543307,0.055118,0.000000,0.629921,0.803150,0.000000,0.535433,0.000000,0.173228,0.000000,[0],[0],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A31 Clock Chimes",0.000000,0.000000,0.944882,0.464567,0.000000,0.000000,0.000000,1.000000,0.173228,[0],0.346457,1.000000,0.000000,0.000000,1.000000,0.818898,0.000000,0.377953,0.000000,0.401575,0.000000,[0],[0],[0],[0],[1],[0],[1],[0],[2],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A32 Steel Drums",0.000000,0.000000,0.944882,0.259843,0.417323,0.000000,0.304762,0.259843,0.070866,[0],0.559055,0.362205,0.204724,0.000000,1.000000,1.000000,0.000000,0.204724,0.000000,0.291339,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A33 Xylophone",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.000000,0.118110,0.000000,[0],0.228346,0.188976,0.425197,0.000000,0.401575,1.000000,0.000000,0.228346,0.228346,0.299213,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A34 Brass III",0.000000,0.000000,0.944882,0.409449,0.157480,0.000000,0.333333,0.173228,0.000000,[0],0.519685,0.188976,0.086614,0.000000,0.094488,1.000000,0.456693,0.787402,0.740157,0.291339,0.000000,[0],[0],[0],[1],[1],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A35 Fanfare",0.000000,0.000000,0.944882,0.370079,0.000000,0.000000,0.666667,0.393701,0.000000,[0],0.346457,0.000000,0.251969,0.000000,0.527559,0.259843,0.566929,0.818898,0.590551,0.385827,0.000000,[0],[0],[1],[1],[1],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A36 Strings III",0.000000,0.000000,0.944882,0.377953,0.212598,0.000000,0.971429,0.000000,0.000000,[1],0.559055,0.110236,0.000000,0.000000,0.661417,0.574803,0.496063,0.244094,1.000000,0.354331,0.000000,[0],[0],[1],[1],[0],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A37 Pizzicato",0.000000,0.000000,0.944882,0.472441,0.141732,0.000000,0.971429,0.000000,0.000000,[3],0.519685,0.015748,0.039370,0.000000,0.330709,1.000000,0.000000,0.086614,0.000000,0.094488,0.000000,[0],[0],[1],[1],[0],[0],[1],[0],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A38 High Strings",0.000000,0.000000,0.944882,0.456693,0.110236,0.000000,0.971429,0.000000,0.000000,[2],0.661417,0.062992,0.015748,0.000000,0.559055,0.606299,0.141732,0.346457,1.000000,0.314961,0.000000,[0],[0],[1],[0],[0],[0],[0],[1],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A41 Bass Clarinet",0.000000,0.000000,0.944882,0.409449,0.354331,0.062992,0.000000,0.000000,0.000000,[1],0.377953,0.283465,0.196850,0.062992,0.456693,0.818898,0.086614,0.590551,0.000000,0.196850,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A42 English Horn",0.000000,0.000000,0.944882,0.370079,0.354331,0.070866,0.971429,0.000000,0.000000,[3],0.551181,0.377953,0.055118,0.000000,0.212598,1.000000,0.062992,0.637795,0.204724,0.125984,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A43 Brass Ensemble",0.000000,0.000000,0.944882,0.409449,0.354331,0.000000,0.971429,0.244094,0.000000,[1],0.362205,0.346457,0.228346,0.007874,0.464567,0.811024,0.125984,0.811024,0.763780,0.267717,0.000000,[0],[0],[0],[1],[1],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A44 Guitar",0.000000,0.000000,0.944882,0.677165,0.456693,0.000000,0.619048,0.000000,0.000000,[1],0.094488,0.118110,0.559055,0.000000,0.236220,0.755906,0.000000,0.409449,0.425197,0.244094,0.000000,[0],[0],[1],[1],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A45 Koto",0.000000,0.000000,0.944882,0.708661,0.220472,0.000000,0.895238,0.015748,0.000000,[3],0.314961,0.456693,0.228346,0.000000,0.590551,1.000000,0.000000,0.440945,0.000000,0.307087,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A46 Dark Pluck",0.000000,0.000000,0.944882,0.244094,0.000000,0.000000,0.828571,0.763780,0.000000,[0],0.299213,0.480315,0.212598,0.000000,0.559055,0.708661,0.000000,0.409449,0.118110,0.496063,0.000000,[0],[0],[1],[0],[1],[0],[0],[1],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A47 Funky I",0.000000,0.000000,0.944882,0.031496,0.000000,0.000000,0.695238,0.503937,0.000000,[0],0.244094,0.181102,0.401575,0.000000,0.322835,0.559055,0.000000,0.236220,0.283465,0.015748,0.000000,[0],[0],[1],[1],[1],[0],[1],[0],[0],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A48 Synth Bass I",0.000000,0.000000,0.944882,0.456693,0.125984,0.007874,0.542857,0.803150,0.393701,[0],0.251969,0.000000,0.519685,0.000000,0.275591,0.590551,0.000000,0.267717,0.000000,0.283465,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A51 Lead I",0.000000,0.000000,0.944882,0.566929,0.692913,0.141732,0.000000,0.000000,0.000000,[0],0.314961,0.763780,0.283465,0.000000,0.409449,0.779528,0.000000,0.354331,0.574803,0.000000,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A52 Lead II",0.000000,0.000000,0.944882,0.188976,0.692913,0.000000,0.504762,0.622047,0.000000,[1],0.354331,0.000000,0.338583,0.000000,0.409449,0.440945,0.007874,0.181102,0.716535,0.590551,0.000000,[0],[0],[1],[1],[1],[1],[0],[0],[0],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A53 Lead III",0.000000,0.000000,0.944882,0.677165,0.559055,0.165354,0.971429,0.000000,0.000000,[1],0.472441,0.244094,0.141732,0.007874,0.598425,1.000000,0.000000,0.519685,0.377953,0.086614,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A54 Funky II",0.000000,0.000000,0.944882,0.031496,0.000000,0.000000,0.457143,0.448819,0.000000,[1],0.039370,0.181102,0.637795,0.000000,0.322835,0.787402,0.000000,0.236220,0.307087,0.015748,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A55 Synth Bass II",0.000000,0.000000,0.944882,0.708661,0.165354,0.000000,0.000000,0.354331,0.000000,[0],0.338583,0.000000,0.370079,0.000000,0.000000,0.614173,0.000000,0.291339,0.070866,0.173228,0.000000,[0],[0],[0],[1],[1],[1],[0],[0],[0],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A56 Funky III",0.000000,0.000000,0.944882,0.031496,0.000000,0.000000,0.085714,1.000000,0.795276,[0],0.299213,0.425197,0.354331,0.000000,0.078740,0.622047,0.000000,0.188976,0.000000,0.015748,0.000000,[0],[0],[1],[1],[1],[1],[0],[0],[0],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A57 Thud Wah",0.000000,0.000000,0.944882,0.488189,0.000000,0.000000,0.971429,0.251969,0.062992,[0],0.614173,0.700787,0.267717,0.000000,0.000000,0.834646,0.000000,0.000000,0.803150,0.354331,0.000000,[0],[0],[1],[1],[1],[0],[0],[1],[1],[0],[0],[0],[0],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A58 Going Up",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.952381,0.000000,0.220472,[1],0.622047,1.000000,0.291339,0.000000,0.511811,0.590551,0.000000,0.850394,0.141732,1.000000,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[1],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A61 Piano II",0.000000,0.000000,0.944882,0.007874,0.000000,0.000000,0.685714,0.905512,0.000000,[1],0.370079,0.000000,0.307087,0.000000,0.039370,0.614173,0.000000,0.771654,0.000000,0.251969,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A62 Clav.",0.000000,0.000000,0.944882,0.519685,0.118110,0.007874,0.971429,0.000000,0.000000,[1],0.055118,0.086614,0.677165,0.015748,0.000000,0.944882,0.000000,0.307087,0.377953,0.110236,0.000000,[0],[0],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A63 Frontier Organ",0.000000,0.000000,0.944882,0.622047,0.118110,0.023622,0.809524,0.228346,0.000000,[0],0.543307,0.425197,0.000000,0.000000,0.409449,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[1],[0],[0],[0],[0],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A64 Snare Drum",0.000000,0.000000,0.944882,0.409449,0.212598,0.000000,0.000000,0.503937,0.716535,[1],0.740157,0.086614,0.133858,0.000000,0.000000,0.795276,0.000000,0.196850,0.000000,0.236220,0.000000,[0],[0],[0],[0],[1],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A65 Tom Toms",0.000000,0.000000,0.944882,0.488189,0.125984,0.062992,0.000000,0.456693,1.000000,[0],0.417323,0.031496,0.314961,0.000000,0.165354,0.795276,0.000000,0.236220,0.118110,0.314961,0.000000,[0],[0],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A66 Timpani",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.333333,0.370079,1.000000,[1],0.196850,0.000000,0.425197,0.000000,0.188976,1.000000,0.007874,0.440945,0.204724,0.559055,0.000000,[0],[0],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A67 Shaker",0.000000,0.000000,0.944882,0.165354,0.559055,0.000000,0.552381,0.000000,1.000000,[3],0.700787,0.354331,0.007874,0.133858,0.629921,1.000000,0.078740,0.070866,0.000000,0.000000,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A68 Synth Pad",0.000000,0.000000,0.944882,0.440945,0.000000,0.039370,0.409524,0.291339,0.000000,[0],0.291339,0.000000,0.661417,0.000000,1.000000,0.401575,0.000000,0.669291,0.590551,0.488189,0.000000,[0],[0],[1],[0],[1],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A71 Sweep I",0.000000,0.000000,0.944882,0.614173,0.000000,0.000000,0.971429,0.330709,0.220472,[1],0.905512,0.314961,0.527559,0.000000,0.000000,0.763780,0.000000,0.496063,1.000000,0.645669,0.000000,[0],[0],[1],[0],[1],[0],[0],[1],[2],[0],[0],[0],[0],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A72 Pluck Sweep",0.000000,0.000000,0.944882,0.535433,0.377953,0.000000,0.647619,0.984252,0.000000,[2],0.472441,0.874016,0.070866,0.047244,0.771654,0.354331,0.000000,0.716535,0.000000,0.606299,0.000000,[0],[0],[1],[1],[1],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A73 Repeater",0.000000,0.000000,0.944882,0.606299,0.157480,0.070866,0.961905,0.346457,0.000000,[1],0.763780,0.236220,0.440945,0.000000,0.448819,0.685039,0.110236,0.000000,0.322835,0.000000,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[1],[1],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A74 Sweep II",0.000000,0.000000,0.944882,0.692913,0.566929,0.118110,0.923810,0.377953,0.000000,[0],0.519685,0.803150,0.535433,0.000000,0.551181,0.795276,0.000000,0.700787,0.417323,0.614173,0.000000,[0],[0],[1],[0],[1],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A75 Pluck Bell",0.000000,0.000000,0.944882,0.401575,0.000000,0.039370,0.161905,0.385827,0.000000,[0],0.307087,0.000000,0.385827,0.000000,1.000000,0.385827,0.000000,0.669291,0.590551,0.417323,0.000000,[0],[0],[1],[0],[1],[0],[0],[1],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A76 Dark Synth Piano",0.000000,0.000000,0.944882,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,[0],0.440945,0.677165,0.047244,0.000000,0.559055,0.622047,0.000000,0.370079,0.000000,0.393701,0.000000,[0],[0],[1],[1],[1],[0],[0],[1],[1],[0],[0],[0],[0],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A77 Sustainer",0.000000,0.000000,0.944882,0.559055,0.000000,0.039370,0.438095,0.385827,0.000000,[0],0.307087,0.000000,0.661417,0.000000,1.000000,0.448819,0.000000,0.669291,0.590551,0.551181,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A78 Wah Release",0.000000,0.000000,0.944882,0.700787,0.110236,0.007874,0.238095,0.685039,0.000000,[1],0.566929,0.692913,0.149606,0.000000,0.519685,0.818898,0.000000,0.661417,0.000000,0.228346,0.000000,[0],[0],[1],[0],[1],[0],[0],[1],[1],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A81 Gong",0.000000,0.000000,0.944882,1.000000,0.000000,0.000000,0.971429,0.000000,0.440945,[1],0.551181,0.842520,0.039370,0.000000,0.566929,0.716535,0.023622,0.377953,1.000000,0.771654,0.000000,[0],[0],[1],[0],[0],[0],[1],[0],[0],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A82 Resonance Funk",0.000000,0.000000,0.944882,0.464567,0.000000,0.000000,0.000000,0.000000,0.000000,[1],0.204724,1.000000,0.354331,0.000000,0.700787,1.000000,0.000000,0.149606,0.000000,0.173228,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A83 Drum Booms",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.971429,0.362205,1.000000,[0],0.330709,0.000000,0.267717,0.000000,0.456693,1.000000,0.000000,0.283465,0.118110,0.385827,0.000000,[0],[0],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A84 Dust Storm",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,[1],0.409449,0.669291,0.000000,0.346457,0.740157,1.000000,0.692913,0.716535,0.220472,0.669291,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A85 Rocket Men",0.000000,0.000000,0.944882,0.062992,0.251969,0.000000,0.971429,0.000000,0.763780,[3],0.574803,0.897638,0.062992,0.000000,0.440945,1.000000,0.000000,0.700787,1.000000,0.818898,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[2],[0],[0],[0],[1],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A86 Hand Claps",0.000000,0.000000,0.944882,0.464567,0.000000,0.000000,0.000000,0.000000,1.000000,[3],0.133858,0.692913,0.425197,0.000000,0.433071,1.000000,0.007874,0.086614,0.000000,0.062992,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A87 FX Sweep",0.000000,0.000000,0.944882,1.000000,0.511811,0.913386,0.971429,1.000000,1.000000,[1],0.559055,0.346457,0.653543,0.000000,0.740157,1.000000,0.000000,0.740157,0.000000,0.881890,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[0],[0],[0],[0],[0],[1],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"A88 Caverns",0.000000,0.000000,0.944882,0.000000,0.000000,0.000000,0.971429,0.000000,1.000000,[2],0.535433,0.929134,0.000000,0.000000,0.543307,0.842520,0.000000,0.102362,0.299213,0.370079,0.000000,[0],[0],[0],[0],[0],[1],[0],[0],[0],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B11 Strings",0.000000,0.000000,0.944882,0.448819,0.354331,0.000000,0.523810,0.000000,0.000000,[0],0.669291,0.000000,0.000000,0.000000,0.850394,0.409449,0.464567,0.251969,0.677165,0.314961,0.000000,[0],[0],[1],[1],[0],[0],[0],[1],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B12 Violin",0.000000,0.000000,0.944882,0.519685,0.354331,0.157480,0.000000,0.000000,0.000000,[0],0.606299,0.000000,0.000000,0.000000,0.944882,0.866142,0.338583,0.354331,0.448819,0.204724,0.000000,[0],[0],[0],[1],[0],[1],[0],[0],[1],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B13 Chorus Vibes",0.000000,0.000000,0.944882,0.566929,0.354331,0.000000,0.000000,0.000000,0.000000,[0],0.078740,0.000000,0.464567,0.000000,0.181102,0.692913,0.000000,0.700787,0.370079,0.582677,0.000000,[0],[0],[1],[0],[0],[0],[1],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B14 Organ I",0.000000,0.000000,0.944882,0.354331,0.330709,0.000000,0.695238,0.763780,0.000000,[0],0.472441,0.566929,0.110236,0.000000,1.000000,0.456693,0.000000,0.000000,0.000000,0.000000,0.000000,[0],[0],[1],[0],[1],[0],[0],[1],[1],[0],[0],[0],[1],[0],[1],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B15 Harpsichord I",0.000000,0.000000,0.944882,0.181102,0.000000,0.000000,0.514286,0.275591,0.000000,[3],1.000000,1.000000,0.708661,0.000000,0.677165,0.984252,0.000000,0.472441,0.000000,0.244094,0.000000,[0],[0],[1],[0],[1],[1],[0],[0],[2],[0],[0],[0],[0],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
"B16 Recorder",0.000000,0.000000,0.944882,0.614173,0.000000,0.000000,0.076190,0.000000,0.000000,[1],0.047244,0.000000,0.362205,0.000000,1.000000,1.000000,0.039370,0.165354,1.000000,0.236220,0.000000,[0],[0],[1],[0],[0],[1],[0],[0],[1],[0],[0],[0],[1],[0],[0],0.000000,0.000000,[1],[2],0.000000,0.000000,0.000000,[1]
